Date,Bloomberg Barclays Euro Government Inflation-Linked Bond All Maturities
01-11-2018,211.5472
31-10-2018,211.6435
30-10-2018,211.3414
29-10-2018,211.8605
26-10-2018,211.2798
25-10-2018,210.7939
24-10-2018,210.4078
23-10-2018,210.8383
22-10-2018,211.0583
19-10-2018,210.6178
18-10-2018,210.5396
17-10-2018,211.1436
16-10-2018,211.2458
15-10-2018,210.4825
12-10-2018,210.513
11-10-2018,210.5492
10-10-2018,210.8718
09-10-2018,210.8458
08-10-2018,210.5199
05-10-2018,211.1518
04-10-2018,211.9218
03-10-2018,212.2387
02-10-2018,212.0598
01-10-2018,212.3255
28-09-2018,213.0274
27-09-2018,214.0655
26-09-2018,214.1055
25-09-2018,213.6591
24-09-2018,213.5417
21-09-2018,214.3067
20-09-2018,213.8306
19-09-2018,213.8872
18-09-2018,214.3635
17-09-2018,214.2683
14-09-2018,213.8233
13-09-2018,214.264
12-09-2018,214.38
11-09-2018,214.2361
10-09-2018,214.3901
07-09-2018,213.8454
06-09-2018,214.1745
05-09-2018,213.7715
04-09-2018,213.7036
03-09-2018,213.2018
31-08-2018,213.1775
30-08-2018,213.4208
29-08-2018,213.24
28-08-2018,213.1658
27-08-2018,213.4156
24-08-2018,213.7999
23-08-2018,213.8426
22-08-2018,213.9919
21-08-2018,214.3416
20-08-2018,213.9467
17-08-2018,213.4845
16-08-2018,213.4148
15-08-2018,213.3581
14-08-2018,213.8092
13-08-2018,213.6365
10-08-2018,214.4369
09-08-2018,214.4481
08-08-2018,214.3288
07-08-2018,214.2588
06-08-2018,214.4042
03-08-2018,214
02-08-2018,213.7975
01-08-2018,214.3172
31-07-2018,215.2284
30-07-2018,214.7479
27-07-2018,215.3228
26-07-2018,215.4237
25-07-2018,215.6293
24-07-2018,215.3458
23-07-2018,215.2322
20-07-2018,215.6505
19-07-2018,216.3449
18-07-2018,216.1489
17-07-2018,216.5047
16-07-2018,216.0168
13-07-2018,216.6405
12-07-2018,216.241
11-07-2018,216.2383
10-07-2018,216.3612
09-07-2018,216.4166
06-07-2018,216.3475
05-07-2018,216.4773
04-07-2018,216.6869
03-07-2018,216.7555
02-07-2018,216.5296
29-06-2018,216.1089
28-06-2018,214.8723
27-06-2018,214.4369
26-06-2018,213.5858
25-06-2018,214.3417
22-06-2018,214.9652
