Date,SPGSCI
16-10-2018,484.6869
15-10-2018,483.9433
12-10-2018,480.6621
11-10-2018,478.671
10-10-2018,488.3504
09-10-2018,496.3946
08-10-2018,493.508
05-10-2018,494.3109
04-10-2018,495.1614
03-10-2018,502.5525
02-10-2018,497.9369
01-10-2018,496.0365
28-09-2018,486.2794
27-09-2018,481.2402
26-09-2018,479.6912
25-09-2018,482.499
24-09-2018,480.3642
21-09-2018,473.8382
20-09-2018,471.2704
19-09-2018,471.9473
18-09-2018,467.8025
17-09-2018,463.4147
14-09-2018,464.3772
13-09-2018,464.2708
12-09-2018,471.3854
11-09-2018,467.2802
10-09-2018,462.5088
07-09-2018,461.0309
06-09-2018,459.7934
05-09-2018,463.4786
04-09-2018,468.1035
31-08-2018,468.6881
30-08-2018,469.2934
29-08-2018,467.9913
28-08-2018,463.3309
27-08-2018,465.0626
24-08-2018,463.7911
23-08-2018,459.2963
22-08-2018,460.3274
21-08-2018,453.8197
20-08-2018,452.3584
17-08-2018,451.6321
16-08-2018,449.3702
15-08-2018,445.1233
14-08-2018,454.9929
13-08-2018,455.0858
10-08-2018,458.1783
09-08-2018,457.1736
08-08-2018,458.4124
07-08-2018,466.673
06-08-2018,464.4977
03-08-2018,462.145
02-08-2018,462.0272
01-08-2018,457.5209
31-07-2018,464.8324
30-07-2018,469.4068
27-07-2018,464.6572
26-07-2018,467.0059
25-07-2018,465.3007
24-07-2018,460.6075
23-07-2018,457.8727
20-07-2018,457.5819
19-07-2018,455.1825
18-07-2018,454.2964
17-07-2018,451.581
16-07-2018,450.7329
13-07-2018,463.3692
12-07-2018,461.4731
11-07-2018,459.3806
10-07-2018,480.6399
09-07-2018,481.1086
06-07-2018,480.7299
05-07-2018,478.6123
03-07-2018,480.9957
02-07-2018,479.5724
29-06-2018,487.4372
28-06-2018,481.5457
27-06-2018,481.2306
26-06-2018,473.0555
25-06-2018,466.269
22-06-2018,471.4514
21-06-2018,460.7342
20-06-2018,463.7644
19-06-2018,462.6469
18-06-2018,467.3852
15-06-2018,463.615
14-06-2018,474.1442
13-06-2018,478.0151
12-06-2018,476.473
11-06-2018,475.3482
08-06-2018,476.1698
07-06-2018,477.434
06-06-2018,471.2806
05-06-2018,472.1969
04-06-2018,470.5007
01-06-2018,477.1119
31-05-2018,481.4273
30-05-2018,483.6898
29-05-2018,477.0781
25-05-2018,482.0706
24-05-2018,491.4913
23-05-2018,495.1131
22-05-2018,494.8326
21-05-2018,493.0637
18-05-2018,489.131
17-05-2018,490.2155
16-05-2018,489.2016
15-05-2018,487.5075
14-05-2018,486.7079
11-05-2018,484.4275
10-05-2018,487.1351
09-05-2018,485.6439
08-05-2018,477.0129
07-05-2018,482.5539
04-05-2018,479.456
03-05-2018,474.2769
02-05-2018,472.5157
01-05-2018,470.9179
30-04-2018,475.7616
27-04-2018,473.1549
26-04-2018,473.5333
25-04-2018,471.9954
24-04-2018,470.4167
23-04-2018,473.5233
20-04-2018,473.7708
19-04-2018,474.0286
18-04-2018,474.7754
17-04-2018,464.8517
16-04-2018,464.5093
13-04-2018,468.3058
12-04-2018,466.8654
11-04-2018,466.7248
10-04-2018,461.1467
09-04-2018,451.9067
06-04-2018,443.7237
05-04-2018,448.4565
04-04-2018,445.717
03-04-2018,446.9049
02-04-2018,445.071
29-03-2018,452.9353
28-03-2018,450.0293
27-03-2018,453.0515
26-03-2018,453.4246
23-03-2018,455.1745
22-03-2018,450.3
21-03-2018,453.4703
20-03-2018,446.1503
19-03-2018,441.2909
16-03-2018,444.6293
15-03-2018,441.3167
14-03-2018,441.6077
13-03-2018,440.5718
12-03-2018,441.5023
09-03-2018,444.3967
08-03-2018,437.7025
07-03-2018,441.5402
06-03-2018,448.2156
05-03-2018,447.5448
02-03-2018,441.5647
01-03-2018,441.0432
28-02-2018,443.3807
27-02-2018,450.0928
26-02-2018,453.677
23-02-2018,451.5292
22-02-2018,448.8438
21-02-2018,444.5726
20-02-2018,444.2095
16-02-2018,443.5926
15-02-2018,441.532
14-02-2018,439.1403
13-02-2018,431.7043
12-02-2018,430.4984
09-02-2018,428.5254
08-02-2018,438.0631
07-02-2018,440.3374
06-02-2018,447.379
05-02-2018,451.5974
02-02-2018,456.5336
01-02-2018,460.2272
31-01-2018,456.533
30-01-2018,456.6109
29-01-2018,460.5895
26-01-2018,463.445
25-01-2018,460.8564
24-01-2018,461.3625
23-01-2018,455.6685
22-01-2018,452.3482
19-01-2018,450.3725
18-01-2018,453.1232
17-01-2018,452.7379
16-01-2018,450.9068
